date	AAPL	COST	HIMS	RTX	SPY	TSLA
2023-09-29	169.5492706298828	546.1107788085938	6.289999961853027	68.79762268066406	417.86566162109375	250.22000122070312
2023-10-31	169.11355590820312	534.0084228515625	5.980000019073486	77.80238342285156	408.79437255859375	200.83999633789062
2023-11-30	188.35531616210938	574.0153198242188	8.890000343322754	78.46256256103516	446.13519287109375	240.0800018310547
2023-12-29	190.9136505126953	653.764404296875	8.899999618530273	81.02403259277344	466.503662109375	248.47999572753906
2024-01-31	182.85191345214844	688.2313842773438	8.579999923706055	87.74554443359375	473.93341064453125	187.2899932861328
2024-02-29	179.46127319335938	737.8555908203125	13.039999961853027	86.91771697998047	498.6665344238281	201.8800048828125
2024-03-29	170.25735473632812	726.6868896484375	15.470000267028809	94.53646087646484	514.9738159179688	175.7899932861328
2024-04-30	169.1155548095703	718.186767578125	12.529999732971191	98.40400695800781	494.2102966308594	183.27999877929688
2024-05-31	191.13815307617188	804.6095581054688	19.420000076293945	105.12960815429688	519.2073364257812	178.0800018310547
2024-06-28	209.4019012451172	844.4480590820312	20.190000534057617	97.89408874511719	537.5250244140625	197.8800048828125
2024-07-31	220.795654296875	817.8031616210938	21.239999771118164	114.56895446777344	544.033935546875	232.07000732421875
2024-08-30	227.93917846679688	887.8239135742188	14.729999542236328	120.91712188720703	556.7456665039062	214.11000061035156
2024-09-30	231.92063903808594	881.9937744140625	18.420000076293945	118.77994537353516	568.4398803710938	261.6300048828125
2024-10-31	224.8634796142578	869.7167358398438	18.829999923706055	118.61328887939453	563.367431640625	249.85000610351562
2024-11-29	236.49049377441406	968.2027587890625	32.220001220703125	120.07289123535156	596.9629516601562	345.1600036621094
2024-12-31	249.5341796875	912.8031616210938	24.18000030517578	114.05101013183594	582.5999145507812	403.8399963378906
2025-01-31	235.16519165039062	976.1725463867188	37.279998779296875	127.09019470214844	598.2464599609375	404.6000061035156
2025-02-28	241.24948120117188	1045.7967529296875	45.09000015258789	131.73529052734375	590.6517944335938	292.9800109863281
2025-03-31	221.58761596679688	943.2425537109375	29.549999237060547	131.21031188964844	557.7411499023438	259.1600036621094
2025-04-30	211.9811248779297	991.8318481445312	33.099998474121094	124.94001007080078	552.9054565429688	282.1600036621094
2025-05-30	200.622314453125	1038.740966796875	56.560001373291016	135.88156127929688	587.6527709960938	346.4599914550781
2025-06-30	204.93740844726562	988.5704345703125	49.849998474121094	145.37973022460938	617.8499755859375	317.6600036621094
2025-07-31	207.33470153808594	938.3400268554688	66.18000030517578	156.87908935546875	632.0800170898438	308.2699890136719
2025-08-29	232.13999938964844	943.3200073242188	42.349998474121094	158.60000610351562	645.0499877929688	333.8699951171875
