recipe_slug	score_estimate
almond-chip-cookies	0.9599409756554388
almond-croissants	0.669367649508056
apple-crisp	0.7523032693691901
apple-crumble	0.9948790662375029
apple-pie	1.0024795718813408
asparagus-burger	0.015607379501670536
asparagus-quiche	0.21152866143254723
bacon-and-egg-breakfast-sandwich	0.009678341178540224
bacon-chocolate-chip-cookies	0.697401680246491
bacon-egg-muffins	0.016649127283520727
bacon-fried-rice	-0.00503290641235913
bacon-mac-and-cheese	-0.0035047945649247514
bacon-souffle	0.02440488600553995
bacon-wrapped-asparagus	0.0073302363931867995
bacon-wrapped-chicken	0.013179749297013321
bacon-wrapped-dates	0.0024085602280739023
bacon-wrapped-scallops	0.0005707516763413349
bacon-wrapped-shrimp-skewers	0.0021293831614269333
berry-crisp	0.9505062937438618
berry-crumble	0.9839041435745051
blueberry-crisp	0.9985242366276285
blueberry-crumble	0.9737532416925906
bolognese-sauce	0.015394729972314447
breakfast-burritos	0.004667036146238035
brioche-bread	0.5089038160329342
brioche-bread-with-chocolate	1.0396335586769698
brownies	0.5186932053113856
burritos	0.016883155149638923
butter-croissants	0.5093671775810593
cherry-cobbler	0.9455824095201643
cherry-pie	0.9898315290832129
chicken-alfredo-lasagna	0.01182083149763545
chicken-fingers	0.0034908203896490825
chicken-nuggets	0.0026355023076517423
chiles-rellenos	0.013883836949630884
chocolate-babka	0.7394068379951672
chocolate-cake	0.9532469019311334
chocolate-croissants	0.7548455494116912
chocolate-peanut-butter-cake	0.9925579241180044
chocolate-souffle	0.7729593009107687
cinnamon-babka	0.9125415906200608
classic-beef-lasagna	0.005859148785685088
cold-noodles-with-tomatoes	0.011380490987025094
cold-sesame-noodles	0.012991960970789654
cold-soba-noodles-with-tomato-and-cucumber	0.0008581509032584526
cranberry-apple-crisp	0.9662243294582692
cranberry-relish	0.28416248047369286
cranberry-sauce	0.4508291471403596
croissant-aux-amandes	0.2401822497563037
croissants	0.040033191349926986
dan-dan-noodles	0.003691062463546557
danishes	0.7523465792148241
enchiladas	0.007234585295224805
fajitas	0.004559309071578983
falafel	0.0015410982975606335
french-toast	0.25574919428379395
fried-oysters	0.010195974708962142
guacamole	-0.0033104427714554
lasagna	0.007746199052904759
loaded-nachos	0.013172100660612529
ma-la-beef	0.015389333065195375
ma-la-chicken	-0.0014432109651948133
maple-bacon-donuts	0.29841416222855804
maple-bacon-pancakes	0.005939926390965095
mushroom-quiche	0.019895619436733326
nacho-casserole	0.012933725410414494
nacho-dip	0.0034077196411988336
nacho-fries	-0.004679812006014701
nacho-salad	-0.008369781046482519
nachos	-0.006012739939080178
pain-au-chocolat	0.2510470360621994
pasta-primavera	0.006894430551357814
peach-cobbler	0.5083817447041447
peach-crisp	0.7556150543652255
peanut-butter-brownies	0.9351818439475125
peanut-butter-cupcakes	0.9936381875607415
pickled-asparagus	0.013770813276394095
pickled-green-beans	0.014873984511133795
pico-de-gallo	0.005486166808395913
quesadillas	0.0012476882107824439
quiche-lorraine	0.2197846807197351
ramen	0.0052415162530562165
soba-noodle-salad-with-peanut-dressing	0.01020401042156982
souffle	0.25382419009090584
spam-musubi	0.01188135784774276
spamburger	0.0032493799085106315
spinach-and-feta-quiche	0.02000808365050244
spinach-and-ricotta-lasagna	-1.5457987575455412e-05
spinach-and-ricotta-stuffed-shells	0.0032401630336794177
spinach-quiche	-0.00046363588805602846
strawberry-rhubarb-crisp	0.9952752596801346
sujebi	0.007246173108254407
taco-salad	0.006750047634855316
tacos	0.0002116692042702234
tamales	0.005968512806518868
tempura-udon	0.01772978775071804
udon	-7.177065627717721e-05
vanilla-souffle	0.7210257938818905
vegetable-lasagna	-0.0043317087731278014
vegetarian-mushroom-lasagna	-0.008406888959811364
